time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),rain_sum (mm),sunshine_duration (s),daylight_duration (s),sunrise (iso8601),sunset (iso8601),precipitation_hours (h),snowfall_sum (cm),precipitation_sum (mm)
2022-01-01,14.6,11.6,12.9,10.4,12.4,8.8,21.9,41.0,202,0.30,10158.21,28561.45,2022-01-01T08:07,2022-01-01T16:03,2.0,0.00,0.30
2022-01-02,12.4,8.9,10.8,7.4,10.4,4.4,26.4,52.6,229,2.60,14669.83,28631.35,2022-01-02T08:07,2022-01-02T16:04,6.0,0.00,2.60
2022-01-03,10.2,6.9,8.7,5.3,7.2,4.1,23.1,44.6,232,0.00,3948.89,28707.21,2022-01-03T08:07,2022-01-03T16:05,0.0,0.00,0.00
2022-01-04,8.0,1.5,4.6,1.2,5.8,-3.7,20.7,40.7,300,1.90,676.45,28789.85,2022-01-04T08:06,2022-01-04T16:06,7.0,0.00,1.90
2022-01-05,5.7,-0.6,2.5,-1.9,1.3,-3.9,20.8,38.2,289,0.00,23525.79,28879.19,2022-01-05T08:06,2022-01-05T16:07,0.0,0.00,0.00
2022-01-06,7.2,-3.5,2.0,-2.0,3.5,-7.3,25.5,51.8,211,1.60,7828.88,28974.99,2022-01-06T08:06,2022-01-06T16:09,7.0,0.00,1.60
2022-01-07,6.1,1.7,3.8,-0.7,2.0,-2.6,21.9,41.0,252,0.20,14469.27,29077.00,2022-01-07T08:05,2022-01-07T16:10,2.0,0.00,0.20
2022-01-08,9.9,1.8,6.1,2.1,6.4,-1.6,27.2,51.5,242,8.00,0.00,29184.96,2022-01-08T08:05,2022-01-08T16:11,12.0,0.00,8.00
2022-01-09,7.6,0.4,3.5,-0.1,4.4,-3.1,21.3,39.6,260,0.00,23940.63,29298.63,2022-01-09T08:04,2022-01-09T16:13,0.0,0.00,0.00
2022-01-10,8.1,2.4,5.6,3.3,5.9,-0.4,12.7,22.3,171,1.00,0.00,29417.77,2022-01-10T08:04,2022-01-10T16:14,8.0,0.00,1.00
2022-01-11,9.5,7.4,8.6,6.8,8.9,5.3,14.4,25.6,199,2.30,0.00,29542.11,2022-01-11T08:03,2022-01-11T16:15,11.0,0.00,2.30
2022-01-12,7.2,1.6,3.6,1.3,5.2,-1.2,8.4,17.3,315,0.00,23323.13,29671.42,2022-01-12T08:02,2022-01-12T16:17,0.0,0.00,0.00
2022-01-13,4.8,-0.4,1.5,-1.3,2.6,-3.9,9.4,12.6,245,0.00,24223.33,29805.46,2022-01-13T08:02,2022-01-13T16:18,0.0,0.00,0.00
2022-01-14,4.5,-1.2,0.9,-2.0,2.4,-4.6,8.8,13.7,22,0.00,24921.34,29943.97,2022-01-14T08:01,2022-01-14T16:20,0.0,0.00,0.00
2022-01-15,5.2,-1.5,1.2,-1.8,2.4,-4.6,10.0,16.9,203,0.00,21218.31,30086.74,2022-01-15T08:00,2022-01-15T16:22,0.0,0.00,0.00
2022-01-16,8.1,0.3,3.9,1.1,6.3,-3.2,12.3,21.2,273,0.10,24780.51,30233.51,2022-01-16T07:59,2022-01-16T16:23,1.0,0.00,0.10
2022-01-17,7.4,0.9,3.3,0.7,6.0,-2.2,10.2,21.2,280,0.00,25545.82,30384.07,2022-01-17T07:58,2022-01-17T16:25,0.0,0.00,0.00
2022-01-18,6.3,-1.4,2.4,0.0,4.8,-4.3,7.4,16.2,162,0.00,11.93,30538.19,2022-01-18T07:57,2022-01-18T16:26,0.0,0.00,0.00
2022-01-19,9.0,3.0,5.3,2.0,6.6,-0.7,18.3,33.8,278,0.10,10843.60,30695.63,2022-01-19T07:56,2022-01-19T16:28,1.0,0.00,0.10
2022-01-20,5.1,-0.4,2.1,-1.9,0.8,-4.5,14.1,28.1,335,0.00,26090.87,30856.19,2022-01-20T07:55,2022-01-20T16:30,0.0,0.00,0.00
2022-01-21,4.7,-2.6,0.7,-3.0,1.0,-6.4,11.4,21.6,290,0.00,26278.64,31019.66,2022-01-21T07:54,2022-01-21T16:31,0.0,0.00,0.00
2022-01-22,6.4,-1.1,2.7,-0.3,3.2,-4.6,12.5,25.2,290,0.00,24375.33,31185.82,2022-01-22T07:53,2022-01-22T16:33,0.0,0.00,0.00
2022-01-23,6.0,3.4,4.5,2.1,3.6,1.3,6.6,14.4,193,0.00,1850.34,31354.80,2022-01-23T07:52,2022-01-23T16:35,0.0,0.00,0.00
2022-01-24,4.8,0.9,3.6,1.0,2.4,-1.9,7.5,15.5,80,0.00,3034.75,31528.41,2022-01-24T07:51,2022-01-24T16:36,0.0,0.00,0.00
2022-01-25,3.2,0.9,2.1,-0.7,0.4,-1.7,7.5,16.6,296,0.00,0.00,31706.65,2022-01-25T07:49,2022-01-25T16:38,0.0,0.00,0.00
2022-01-26,8.0,1.1,3.9,0.5,4.2,-2.0,16.2,32.8,254,0.00,25825.91,31889.21,2022-01-26T07:48,2022-01-26T16:40,0.0,0.00,0.00
2022-01-27,12.0,3.2,7.1,3.9,9.7,0.4,19.5,36.4,267,0.10,10835.75,32075.80,2022-01-27T07:47,2022-01-27T16:41,1.0,0.00,0.10
2022-01-28,9.5,-0.1,4.9,1.8,6.3,-3.7,19.2,34.9,248,0.00,21761.54,32266.12,2022-01-28T07:45,2022-01-28T16:43,0.0,0.00,0.00
2022-01-29,12.7,4.0,9.6,5.8,7.9,0.9,33.7,64.1,268,0.00,14178.95,32459.88,2022-01-29T07:44,2022-01-29T16:45,0.0,0.00,0.00
2022-01-30,7.9,-0.5,4.5,1.0,3.8,-4.0,25.5,47.5,253,0.90,27543.15,32656.79,2022-01-30T07:43,2022-01-30T16:47,2.0,0.00,0.90
2022-01-31,8.5,3.5,6.0,0.6,3.5,-1.4,32.7,60.8,304,0.10,27914.63,32856.58,2022-01-31T07:41,2022-01-31T16:49,1.0,0.00,0.10
2022-02-01,12.9,4.9,9.7,5.8,8.5,1.2,27.6,58.7,276,0.30,18125.53,33058.98,2022-02-01T07:39,2022-02-01T16:50,2.0,0.00,0.30
2022-02-02,11.1,6.0,9.1,6.2,9.2,3.0,20.6,42.1,265,0.10,22817.73,33263.73,2022-02-02T07:38,2022-02-02T16:52,1.0,0.00,0.10
2022-02-03,10.5,7.0,8.3,5.2,7.8,3.4,18.1,38.2,240,0.10,10037.09,33470.57,2022-02-03T07:36,2022-02-03T16:54,1.0,0.00,0.10
2022-02-04,9.1,2.7,6.2,1.7,4.5,-1.2,29.9,56.2,259,3.50,19191.65,33679.26,2022-02-04T07:35,2022-02-04T16:56,3.0,0.00,3.50
2022-02-05,9.9,1.9,6.5,1.5,4.8,-2.1,32.6,64.8,245,0.10,18462.06,33889.55,2022-02-05T07:33,2022-02-05T16:58,1.0,0.00,0.10
2022-02-06,10.6,5.8,8.9,3.3,5.0,-0.3,36.0,67.3,267,3.80,22928.12,34101.21,2022-02-06T07:31,2022-02-06T17:00,10.0,0.00,3.80
